Time (ISO),Lat (deg),Lon (deg),Alt (km),Vel (km/s)
2018-09-17 00:00:00,-72.59994314106235,166.6392454315921,616.8833116609385,7.557743328870933
2018-09-17 00:01:00,-69.22591131733431,161.6242477664429,618.1447411980762,7.55675427346288
2018-09-17 00:02:00,-65.75719484946056,157.90692519820826,619.5372894363818,7.555689234853538
2018-09-17 00:03:00,-62.22989643864222,155.01904476086196,621.0533498545437,7.55454906304797
2018-09-17 00:04:00,-58.664419954715285,152.68737840034944,622.6845778706775,7.553334445183804
2018-09-17 00:05:00,-55.07306617710113,150.74413409792587,624.4219614972499,7.5520459748379185
2018-09-17 00:06:00,-51.463661661744815,149.0813898386775,626.2558991142223,7.550684227278001
2018-09-17 00:07:00,-47.8414263534506,147.6268749410093,628.1762758185441,7.549249844411493
2018-09-17 00:08:00,-44.209968546095396,146.3304619690629,630.1725558777462,7.547743613700466
2018-09-17 00:09:00,-40.571872335215104,145.15630332446693,632.2338655375861,7.546166557350581
2018-09-17 00:10:00,-36.92904106588117,144.07805702191172,634.3490833546584,7.544520016238431
2018-09-17 00:11:00,-33.28291258267736,143.0758854745884,636.5069296591164,7.542805732034196
2018-09-17 00:12:00,-29.634597839683863,142.134506862245,638.6960552336068,7.541025924780013
2018-09-17 00:13:00,-25.98497291109244,141.2418926895552,640.9051281367238,7.539183364180785
2018-09-17 00:14:00,-22.334741783047605,140.388373653448,643.1229176567185,7.537281433002498
2018-09-17 00:15:00,-18.684480337672113,139.5660100123254,645.3383744530593,7.535324181138075
2018-09-17 00:16:00,-15.034667966050286,138.76813688662804,647.5407060285424,7.5333163690878635
2018-09-17 00:17:00,-11.385708463916918,137.98902657300988,649.7194482211271,7.5312634984162985
2018-09-17 00:18:00,-7.7379575802643314,137.22363313081448,651.8645233283114,7.529171836672305
2018-09-17 00:19:00,-4.091722340864738,136.46738568625582,653.9663062033105,7.527048415438001
2018-09-17 00:20:00,-0.44728236774086355,135.71602269317415,656.0156686453529,7.524901028680642
2018-09-17 00:21:00,3.1951025595246327,134.96544578550635,658.0040237547018,7.522738210674419
2018-09-17 00:22:00,6.83518326400454,134.2115856330387,659.9233612528378,7.520569201778776
2018-09-17 00:23:00,10.47271204425994,133.45026991469393,661.7662751634343,7.518403901011724
2018-09-17 00:24:00,14.107433022150547,132.67708431051443,663.5259838936736,7.516252805927604
2018-09-17 00:25:00,17.739071270015828,131.887216594125,665.196342864695,7.514126940504524
2018-09-17 00:26:00,21.367319876726384,131.07527186157301,666.7718499425118,7.512037771927595
2018-09-17 00:27:00,24.991823852470215,130.23504327791667,668.2476440157425,7.50999711731801
2018-09-17 00:28:00,28.61215934564511,129.3592167402892,669.6194971527339,7.508017041603736
2018-09-17 00:29:00,32.22780838260775,128.43897765091035,670.8838016580703,7.506109746602114
2018-09-17 00:30:00,35.83811127271622,127.46347704567594,672.0375476625677,7.5042874603144245
2018-09-17 00:31:00,39.44222791185842,126.41907627831088,673.078304416129,7.502562308871516
2018-09-17 00:32:00,43.03905133352298,125.28826960427526,674.0041889935492,7.500946198322778
2018-09-17 00:33:00,46.6270964987915,124.04809178474689,674.8138360261837,7.499450688550385
2018-09-17 00:34:00,50.20432708311156,122.66770625974597,675.506363953642,7.498086868735443
2018-09-17 00:35:00,53.76788281043383,121.10463920376999,676.081339418145,7.496865234715644
2018-09-17 00:36:00,57.313634347575736,119.29869928283674,676.5387405389602,7.495795569859586
2018-09-17 00:37:00,60.83542589436793,117.16178722268728,676.8789197925826,7.494886831043892
2018-09-17 00:38:00,64.32372319443697,114.56009237273396,677.1025672022379,7.494147041260902
2018-09-17 00:39:00,67.76306329669558,111.2815563389168,677.210674508684,7.493583190307968
2018-09-17 00:40:00,71.12693405764283,106.9736680658986,677.2045009112408,7.49320114472085
2018-09-17 00:41:00,74.36674857479403,101.02057379381137,677.0855411386929,7.493005569487783
2018-09-17 00:42:00,77.38666977705019,92.30565455291874,676.8554961195387,7.492999859121863
2018-09-17 00:43:00,79.98570701535043,78.86866835025648,676.5162467999708,7.493186084207621
2018-09-17 00:44:00,81.75542418532977,58.288343305913635,676.0698316263861,7.493564950085485
2018-09-17 00:45:00,82.11549781095607,31.903461095795066,675.5184278817314,7.494135770120885
2018-09-17 00:46:00,80.89641676741921,8.119429219636569,674.8643371464868,7.49489645372636
2018-09-17 00:47:00,78.5930547551176,-8.212246050096631,674.1099750387366,7.4958435094406335
2018-09-17 00:48:00,75.72014458742602,-18.69993645253967,673.2578653028195,7.496972063180797
2018-09-17 00:49:00,72.55621488685482,-25.68592221709315,672.3106382299911,7.498275891591908
2018-09-17 00:50:00,69.23323477191398,-30.617859060589264,671.271033308487,7.499747470224859
2018-09-17 00:51:00,65.81607716305771,-34.29328700432978,670.1419051283956,7.501378037225239
2018-09-17 00:52:00,62.339053011330776,-37.15985552987779,668.9262369323524,7.503157665110427
2018-09-17 00:53:00,58.82163435332652,-39.48099762216239,667.6271499506856,7.505075356476824
2018-09-17 00:54:00,55.275570497535156,-41.41958582401852,666.2479232462019,7.507119140727235
2018-09-17 00:55:00,51.708320580427404,-43.080947808997394,664.7920123572567,7.509276186797957
2018-09-17 00:56:00,48.12482652865543,-44.53593243856116,663.263070605637,7.511532924194619
2018-09-17 00:57:00,44.5284834147405,-45.833858338035746,661.6649717271084,7.513875171904078
2018-09-17 00:58:00,40.92169826752972,-47.010104148797275,660.001833163863,7.516288273586235
2018-09-17 00:59:00,37.30622637993883,-48.090735704273726,658.2780393217345,7.5187572373470255
2018-09-17 01:00:00,33.68338162123877,-49.09542764629856,656.4982640700255,7.521266878312234
2018-09-17 01:01:00,30.054172465282388,-50.03936717306619,654.6674917478595,7.523801962163933
2018-09-17 01:02:00,26.419390216560053,-50.934531073200674,652.791034668061,7.526347349474904
2018-09-17 01:03:00,22.779680867186176,-51.79056213520369,650.8745540027421,7.5288881287132945
2018-09-17 01:04:00,19.13557411614642,-52.61539320386195,648.9240643945204,7.531409761694075
2018-09-17 01:05:00,15.487524564176162,-53.41569400910944,646.9459468146242,7.53389820548864
2018-09-17 01:06:00,11.835932535431429,-54.197205829384785,644.9469502473485,7.536340034686372
2018-09-17 01:07:00,8.181161778461806,-54.964997389882036,642.9341891521362,7.538722552140194
2018-09-17 01:08:00,4.523553403272324,-55.72366791956148,640.915134995148,7.541033888409304
2018-09-17 01:09:00,0.8634373227483888,-56.477515334362096,638.8976014755472,7.543263088567951
2018-09-17 01:10:00,-2.798857855924149,-57.230682978050105,636.8897231721503,7.54540018523528
2018-09-17 01:11:00,-6.462995731964343,-57.9872957014108,634.8999274457346,7.547436256890555
2018-09-17 01:12:00,-10.128623135908628,-58.75159478817715,632.9368995491877,7.549363470768162
2018-09-17 01:13:00,-13.79536061962721,-59.52808110809884,631.0095410206277,7.551175109873881
2018-09-17 01:14:00,-17.46279414110788,-60.32167741110269,629.1269203153179,7.552865585016727
2018-09-17 01:15:00,-21.13045229504334,-61.13791922091977,627.2982235163445,7.554430425291907
2018-09-17 01:16:00,-24.7978047984501,-61.98319905474044,625.5326867086378,7.555866264165172
2018-09-17 01:17:00,-28.464231394452483,-62.8650766689956,623.8395358680445,7.557170799094974
2018-09-17 01:18:00,-32.128995652674526,-63.792697187672765,622.2279159232403,7.55834274279958
2018-09-17 01:19:00,-35.791205273958596,-64.77736492360992,620.7068174343267,7.559381760343789
2018-09-17 01:20:00,-39.44975569761377,-65.83335231319062,619.2850005058717,7.560288394601643
2018-09-17 01:21:00,-43.103247935043896,-66.97906959777482,617.9709169127009,7.561063981692033
2018-09-17 01:22:00,-46.74986561748192,-68.23880128678603,616.7726314832289,7.5617105581709625
2018-09-17 01:23:00,-50.38718557292297,-69.64535811915005,615.6977438339827,7.562230761917975
2018-09-17 01:24:00,-54.011876305850706,-71.24425540082973,614.7533115790175,7.5626277287705195
2018-09-17 01:25:00,-57.619202243852484,-73.1005303926378,613.9457756533839,7.562904987181987
2018-09-17 01:26:00,-61.202154915443764,-75.3102975821437,613.2808919363879,7.563066352108148
2018-09-17 01:27:00,-64.74991008545435,-78.02123192627333,612.7636623673243,7.56311582285335
2018-09-17 01:28:00,-68.24482723881209,-81.47057138758099,612.3982774387168,7.563057483257598
2018-09-17 01:29:00,-71.65631734266486,-86.05899636123755,612.1880626648363,7.5628954091878695
2018-09-17 01:30:00,-74.92733788526775,-92.49862903197813,612.1354333388917,7.562633583897984
2018-09-17 01:31:00,-77.94284764310137,-102.09699471213848,612.2418577571343,7.562275823131669
2018-09-17 01:32:00,-80.45748958532621,-117.10755060227396,612.5078295528001,7.561825711394212
2018-09-17 01:33:00,-81.98539636468982,-139.79456227705154,612.932849646736,7.561286550563516
2018-09-17 01:34:00,-81.94465427888831,-166.88206055155976,613.515418175517,7.560661321731806
2018-09-17 01:35:00,-80.3558344174776,170.802861708076,614.2530366047195,7.559952660871576
2018-09-17 01:36:00,-77.81066189430483,156.11907074441933,615.1422207240903,7.55916284805396
2018-09-17 01:37:00,-74.78236025545475,146.717398884104,616.1785206375316,7.55829381347737
2018-09-17 01:38:00,-71.50746897633613,140.39143663947377,617.3565566880834,7.557347151887942
2018-09-17 01:39:00,-68.0969978304129,135.87146911541376,618.6700589670982,7.556324155355212
2018-09-17 01:40:00,-64.60617485834997,132.46566422927555,620.1119185530806,7.555225855675351
2018-09-17 01:41:00,-61.06470870104058,129.783858491119,621.674246416318,7.554053078303163
2018-09-17 01:42:00,-57.489769471942616,127.59446128538332,623.3484397316915,7.552806505914408
2018-09-17 01:43:00,-53.89190523993333,125.75298409695489,625.1252546941478,7.551486750010816
2018-09-17 01:44:00,-50.27793621226341,124.16519575456397,626.99488484639,7.55009442882579
2018-09-17 01:45:00,-46.65246639348339,122.76722698997949,628.9470438616318,7.548630249674613
2018-09-17 01:46:00,-43.01871978150778,121.51431309832692,630.9710516767718,7.547095093820063
2018-09-17 01:47:00,-39.379023969711305,120.37414269786902,633.0559242596673,7.545490100793682
2018-09-17 01:48:00,-35.735114776592766,119.32277667393798,635.1904574036489,7.54381675677246
2018-09-17 01:49:00,-32.08830726382507,118.34204747421016,637.363324503398,7.542076968846096
2018-09-17 01:50:00,-28.439626295349825,117.4178599762623,639.5631592187292,7.54027314488599
2018-09-17 01:51:00,-24.789885038119365,116.53904267056271,641.7786428706013,7.538408261286537
2018-09-17 01:52:00,-21.139740680521907,115.69655286803554,643.9985872600728,7.536485923391493
2018-09-17 01:53:00,-17.489733792010824,114.88291239837072,646.2120133740691,7.534510416172935
2018-09-17 01:54:00,-13.840316857865323,114.0917966296154,648.408225151652,7.532486743976296
2018-09-17 01:55:00,-10.19187554837729,113.31772689505617,650.5768775834622,7.530420658354209
2018-09-17 01:56:00,-6.544745081775159,112.55583308756091,652.7080385241798,7.528318673232458
2018-09-17 01:57:00,-2.899223298280743,111.80166354657322,654.7922437110492,7.526188066878814
2018-09-17 01:58:00,0.7444183988523876,111.05102583808832,656.8205445984095,7.524036870375598
2018-09-17 01:59:00,4.385927802942729,110.29984549879804,658.7845500306639,7.521873841073505
2018-09-17 02:00:00,8.02505300381548,109.54403561637598,660.6764537883382,7.519708429895716
2018-09-17 02:01:00,11.661547810486793,108.7793605403099,662.4890676248842,7.517550721075162
2018-09-17 02:02:00,15.29515201161766,108.001294542377,664.2158335084259,7.515411373934409
2018-09-17 02:03:00,18.925582372993553,107.20485744570016,665.8508351353439,7.513301545711557
2018-09-17 02:04:00,22.55251880727563,106.3844172866101,667.3888010030441,7.511232805067643
2018-09-17 02:05:00,26.175586941057425,105.53344223790654,668.8251007567978,7.509217035925908
2018-09-17 02:06:00,29.794335363257016,104.64417754399422,670.1557352692353,7.507266332880141
2018-09-17 02:07:00,33.408205038747774,103.70721206262836,671.3773209842802,7.505392889528891
2018-09-17 02:08:00,37.01648707551696,102.71088105435993,672.4870691198685,7.503608881191882
2018-09-17 02:09:00,40.61826289754677,101.64042246953734,673.4827603754329,7.501926343543418
2018-09-17 02:10:00,44.21231967214116,100.47675392956953,674.3627163814936,7.500357047743344
2018-09-17 02:11:00,47.79701069895374,99.19465845387768,675.1257652222248,7.498912379852159
2018-09-17 02:12:00,51.37006973699745,97.75999977253139,675.7712104214843,7.497603210568811
2018-09-17 02:13:00,54.92828271359706,96.12533858454273,676.2987923271603,7.496439778009332
2018-09-17 02:14:00,58.466963200354314,94.22276550098982,676.7086516771296,7.495431569134594
2018-09-17 02:15:00,61.97904231861235,91.95173183801046,677.0012923696167,7.494587207873008
2018-09-17 02:16:00,65.45341606375796,89.15748059681857,677.1775447615382,7.493914350350877
2018-09-17 02:17:00,68.87176579837829,85.59103140583876,677.238530154822,7.493419588652487
2018-09-17 02:18:00,72.20202961689309,80.83166660437027,677.1856270871067,7.4931083644321
2018-09-17 02:19:00,75.38405059736648,74.13334250741092,677.0204399914164,7.492984893584451
2018-09-17 02:20:00,78.29634889123643,64.14011363068073,676.7447707303627,7.493052103049013
2018-09-17 02:21:00,80.68236108378304,48.596013725499446,676.3605931509446,7.493311580917367
2018-09-17 02:22:00,82.05261511807775,25.57618184529042,675.8700327185179,7.49376353931452
2018-09-17 02:23:00,81.87517219033377,-0.9978553155012786,675.2753474732563,7.494406793593036
2018-09-17 02:24:00,80.23333972429909,-22.4404996228869,674.5789156784522,7.495238754789527
2018-09-17 02:25:00,77.6994876436048,-36.5697997236152,673.783226600739,7.4962554378734785
2018-09-17 02:26:00,74.71018644496777,-45.698983755792064,672.890875866633,7.497451485058362
2018-09-17 02:27:00,71.48408497546335,-51.89419902893833,671.9045651301512,7.498820204146748
2018-09-17 02:28:00,68.1250836366074,-56.349692539235086,670.8271059215685,7.500353621578081
2018-09-17 02:29:00,64.68543661022693,-59.723010167691356,669.6614274626445,7.502042549655469
2018-09-17 02:30:00,61.19344915087089,-62.38853896765382,668.4105881514542,7.503876667239082
2018-09-17 02:31:00,57.665531251967934,-64.57024054735268,667.0777903412791,7.505844613011097
2018-09-17 02:32:00,54.11175769419001,-66.40871732562384,665.666396992182,7.5079340916818404
2018-09-17 02:33:00,50.53862607821189,-67.99612406597188,664.1799554608397,7.5101319833389635
2018-09-17 02:34:00,46.95048986159925,-69.3951823268473,662.6222135190073,7.512424475791284
2018-09-17 02:35:00,43.35037395125053,-70.65000153364596,660.9971459086464,7.514797190330068
2018-09-17 02:36:00,39.74044358735878,-71.79251118854722,659.3089766863468,7.517235320121804
2018-09-17 02:37:00,36.12229169944836,-72.84642819221763,657.5622022271318,7.519723771246436
2018-09-17 02:38:00,32.49712067838409,-73.82978865497566,655.7616132391386,7.522247305939045
2018-09-17 02:39:00,28.865861145743118,-74.756613585719,653.9123150515697,7.524790686180803
2018-09-17 02:40:00,25.229251844638586,-75.63803562598257,652.019745441451,7.527338815760326
2018-09-17 02:41:00,21.587894830056165,-76.48308124210637,650.0896892810606,7.529876878928355
2018-09-17 02:42:00,17.942294571867944,-77.29922752619035,648.128289317664,7.532390473798535
2018-09-17 02:43:00,14.292886365719836,-78.09280877538069,646.1420524405812,7.534865738705271
2018-09-17 02:44:00,10.640055081998666,-78.86932214469559,644.1378494989631,7.537289471421396
2018-09-17 02:45:00,6.984161268521725,-79.63366186603515,642.122916237251,7.539649229971042
2018-09-17 02:46:00,3.325539452899161,-80.3903123332588,640.1048347153319,7.541933437897648
2018-09-17 02:47:00,-0.3354812213802769,-81.14350588688399,638.0915217699358,7.544131460171587
2018-09-17 02:48:00,-3.9985698897004185,-81.89736551442853,636.0912041302381,7.546233673156532
2018-09-17 02:49:00,-7.663384980652495,-82.65603955544593,634.112388107169,7.548231517937716
2018-09-17 02:50:00,-11.329565141650104,-83.42383828475145,632.163822509995,7.550117538029195
2018-09-17 02:51:00,-14.996719402489472,-84.20538195365154,630.2544549065697,7.551885401085786
2018-09-17 02:52:00,-18.664415804916796,-85.00577126029184,628.3933814705733,7.5535299045100945
2018-09-17 02:53:00,-22.33216752675426,-85.83079402969489,626.5897907863964,7.555046965117313
2018-09-17 02:54:00,-25.999415189721915,-86.68718665608324,624.8529021074437,7.556433593295801
2018-09-17 02:55:00,-29.66550594706717,-87.58297719106125,623.1918975980698,7.557687853170162
2018-09-17 02:56:00,-33.3296518544091,-88.527945053099,621.6158558667466,7.558808804873998
2018-09-17 02:57:00,-36.99090020576502,-89.53426506402592,620.1336710352198,7.559796442551876
2018-09-17 02:58:00,-40.64806007958249,-90.61741543646545,618.7539805709148,7.560651612724158
2018-09-17 02:59:00,-44.29961130644423,-91.79750590201581,617.4850860260576,7.561375927519459
2018-09-17 03:00:00,-47.943563272513906,-93.10126639863518,616.334874540089,7.56197166938986
2018-09-17 03:01:00,-51.5772351414283,-94.56511435258508,615.3107410706143,7.56244169017665
2018-09-17 03:02:00,-55.19690191280686,-96.24004066800023,614.4195124818434,7.562789306611769
2018-09-17 03:03:00,-58.79720176265048,-98.19967866116149,613.6673746220904,7.5630181944014785
2018-09-17 03:04:00,-62.37009793719784,-100.55417876048855,613.0598035043658,7.563132283055365
2018-09-17 03:05:00,-65.9029627792771,-103.47515698832194,612.601501664949,7.563135653595221
2018-09-17 03:06:00,-69.37482342948104,-107.24273505165095,612.2963405630344,7.563032441099925
2018-09-17 03:07:00,-72.74846773302386,-112.33815803164481,612.1473109790741,7.562826744584312
2018-09-17 03:08:00,-75.95270982535665,-119.62926814436595,612.1564794365304,7.5625225447710935
2018-09-17 03:09:00,-78.84055577790349,-130.70509153218885,612.3249554741342,7.562123632731749
2018-09-17 03:10:00,-81.09867262495338,-148.08879758253943,612.6528670316566,7.56163354987096
2018-09-17 03:11:00,-82.1628474786799,-173.05289483316858,613.1393458439761,7.561055540612467
2018-09-17 03:12:00,-81.56886087905923,160.5197088337109,613.7825228966421,7.56039251854752
2018-09-17 03:13:00,-79.59770649310906,140.81309554108265,614.5795340976138,7.559647046538613
2018-09-17 03:14:00,-76.85571467983306,128.16426516763238,615.5265361622041,7.558821330960307
2018-09-17 03:15:00,-73.72873398213729,119.96292321406695,616.6187325509309,7.557917229946884
2018-09-17 03:16:00,-70.40087306060482,114.33338928742452,617.8504091457262,7.556936275210745
2018-09-17 03:17:00,-66.9596860078459,110.2362098900459,619.2149801605356,7.5558797059694145
2018-09-17 03:18:00,-63.44986232086339,107.10104520229332,620.7050380195324,7.554748518332219
2018-09-17 03:19:00,-59.89603651867488,104.6009493332951,622.3124204320784,7.553543518144754
2018-09-17 03:20:00,-56.312752320577204,102.53856444448387,624.0282755031303,7.552265390001514
2018-09-17 03:21:00,-52.709104453920865,100.78887466269431,625.8431374647134,7.550914770281484
2018-09-17 03:22:00,-49.09106170762327,99.26926098268285,627.7470066946817,7.549492326574423
2018-09-17 03:23:00,-45.462704472727545,97.92307741410616,629.7294338190768,7.547998840931076
2018-09-17 03:24:00,-41.826921088602724,96.7102210745388,631.7796067821901,7.546435294994756
2018-09-17 03:25:00,-38.18581859921807,95.6014873336764,633.8864397472362,7.544802955054051
2018-09-17 03:26:00,-34.540975143210574,94.57506232049343,636.0386626889076,7.543103455079034
2018-09-17 03:27:00,-30.893600661910327,93.61426970519594,638.2249105561586,7.54133887586399
2018-09-17 03:28:00,-27.24464250902698,92.70607918919664,640.4338109188348,7.539511818495937
2018-09-17 03:29:00,-23.594854411012253,91.84009118748934,642.6540705538364,7.5376254692122195
