lapStartTime,lapEndTime,minDist [km],FU4_L_at_min,AC6A_L_at_min
2018-04-11 12:52:00,2018-04-11 13:11:00,33.7964289233,-1e+31,-1e+31
2018-04-11 13:44:00,2018-04-11 13:50:00,458.835196366,-1e+31,-11.805109446
2018-04-13 21:55:00,2018-04-13 22:09:00,286.200305906,6.33862198121,7.3731026341
2018-04-13 22:41:00,2018-04-13 22:55:00,186.514022391,8.4439677739,7.44649702302
2018-04-16 07:42:00,2018-04-16 07:56:00,75.7881900154,-1e+31,-1e+31
2018-04-18 16:44:00,2018-04-18 16:54:00,326.170607793,-1e+31,-1e+31
2018-04-18 17:30:00,2018-04-18 17:41:00,317.023109682,9.58505916589,-9.80195698871
2018-04-21 02:29:00,2018-04-21 02:42:00,44.9175775199,-9.24848322222,8.90073235568
2018-04-23 11:29:00,2018-04-23 11:40:00,234.436090967,-1e+31,-1e+31
2018-04-23 12:17:00,2018-04-23 12:24:00,389.402682983,-1e+31,-1e+31
2018-04-25 20:33:00,2018-04-25 20:35:00,489.530246757,6.95664772312,-7.81427804853
2018-04-25 21:16:00,2018-04-25 21:26:00,176.703673121,15.9446561456,-13.3890735569
2018-04-28 06:15:00,2018-04-28 06:26:00,39.8472179719,-1e+31,-1e+31
2018-04-28 07:08:00,2018-04-28 07:10:00,478.14702196,-1e+31,-54.9926345152
2018-04-30 15:16:00,2018-04-30 15:25:00,217.253499716,-1e+31,-1e+31
2018-04-30 16:04:00,2018-04-30 16:13:00,251.748148081,-11.616378013,-12.3838462626
2018-05-03 00:17:00,2018-05-03 00:22:00,399.887522429,36.1740148276,-1e+31
2018-05-03 01:02:00,2018-05-03 01:12:00,48.9548073745,-8.2555031242,8.0242266803
2018-05-05 10:02:00,2018-05-05 10:11:00,163.819445076,-1e+31,-1e+31
2018-05-07 19:02:00,2018-05-07 19:09:00,341.370665229,-7.90858456743,8.28629426118
2018-05-07 19:51:00,2018-05-07 19:53:00,475.056032396,25.2479705586,-13.5882701494
2018-05-10 04:48:00,2018-05-10 04:55:00,330.985953998,-17.0653719647,-12.5309830529
2018-05-12 13:47:00,2018-05-12 13:54:00,196.4862855,-1e+31,-1e+31
2018-05-14 22:46:00,2018-05-14 22:54:00,74.3338812442,27.597632841,25.2731541972
2018-05-14 23:36:00,2018-05-14 23:40:00,423.77396123,8.01535495193,6.25285466717
2018-05-17 07:45:00,2018-05-17 07:52:00,60.3292940975,-1e+31,-1e+31
2018-05-17 08:34:00,2018-05-17 08:40:00,305.296943328,-1e+31,-1e+31
2018-05-19 16:44:00,2018-05-19 16:51:00,159.754001552,-1e+31,-1e+31
2018-05-19 17:33:00,2018-05-19 17:39:00,202.862551713,8.97305178362,9.51496288614
2018-05-22 01:44:00,2018-05-22 01:50:00,254.284048211,30.4824227982,-1e+31
2018-05-22 02:31:00,2018-05-22 02:38:00,118.275613676,-23.2128921249,-21.1308300898
2018-05-24 10:43:00,2018-05-24 10:48:00,336.502904955,-1e+31,-1e+31
2018-05-24 11:30:00,2018-05-24 11:37:00,63.5803981503,-1e+31,-1e+31
2018-05-26 19:43:00,2018-05-26 19:46:00,405.285766181,-1e+31,-1e+31
2018-05-26 20:29:00,2018-05-26 20:36:00,64.6512995866,7.23335640554,-7.27613879355
2018-05-29 04:42:00,2018-05-29 04:44:00,464.726795584,-24.2273312073,-1e+31
2018-05-29 05:28:00,2018-05-29 05:34:00,60.9229493711,-1e+31,-1e+31
2018-05-31 14:27:00,2018-05-31 14:33:00,76.7962548629,-13.5674146214,-13.732773887
2018-06-02 23:26:00,2018-06-02 23:31:00,101.588486264,-8.76256189256,10.3373294943
2018-06-05 08:25:00,2018-06-05 08:30:00,95.2196663595,-1e+31,-1e+31
2018-06-07 17:23:00,2018-06-07 17:29:00,65.5409094038,-8.97362737791,9.35596497944
2018-06-10 02:22:00,2018-06-10 02:27:00,85.0908637502,-26.736163735,31.8074079728
