lapStartTime,lapEndTime,minDist [km],FU4_L_at_min,AC6A_L_at_min
2018-02-27 09:34:00,2018-02-27 10:45:00,59.3095836592,3.64972869858,3.69299
2018-03-01 18:48:00,2018-03-01 20:11:00,89.0633468842,-2.44976693964,2.38753
2018-03-06 14:09:00,2018-03-06 15:30:00,56.9688276751,1.30787960495,1.32612
2018-03-11 09:23:00,2018-03-11 10:40:00,168.302833118,-1e+31,-1e+31
2018-03-13 18:44:00,2018-03-13 20:08:00,88.7110624119,1.25822831958,1.28113
2018-03-20 23:15:00,2018-03-21 00:36:00,96.0149554974,4.03412333124,4.28036
2018-03-25 18:34:00,2018-03-25 19:46:00,11.0918137097,5.17807288548,5.25706
2018-03-28 03:45:00,2018-03-28 04:55:00,1.73436420381,5.88255710181,5.98563
