lapStartTime,lapEndTime,lapDuration [min],minDist [km],FU4_L_at_min,ELFIN_A_L_at_min
2018-11-03 07:43:00,2018-11-03 07:45:00,2.0,231.3304629128224,-1e+31,-1e+31
2018-11-03 08:30:00,2018-11-03 08:32:00,2.0,153.01934897843913,-1e+31,-1e+31
2018-11-03 09:17:00,2018-11-03 09:19:00,2.0,292.15618363004495,-1e+31,-1e+31
2018-11-03 10:04:00,2018-11-03 10:06:00,2.0,355.1526755360203,-1e+31,-1e+31
2018-11-08 16:41:00,2018-11-08 16:42:00,1.0,465.6862559522892,5.070973582008343,6.1608435614002275
2018-11-08 17:27:00,2018-11-08 17:30:00,3.0,148.66844248044777,18.626291439573414,-20.990137009798126
2018-11-08 18:14:00,2018-11-08 18:18:00,4.0,58.28315148730878,5.458556294370686,5.158081723566044
2018-11-08 19:02:00,2018-11-08 19:04:00,2.0,383.040520351851,-24.32270823680938,-15.771465446003486
2018-11-14 02:25:00,2018-11-14 02:28:00,3.0,311.5268306632166,-15.933768073259078,17.77764777133426
2018-11-14 03:11:00,2018-11-14 03:15:00,4.0,111.5147094481406,-24.08758426702064,-37.67817733038725
2018-11-14 03:59:00,2018-11-14 04:02:00,3.0,218.61811173996196,-1e+31,-1e+31
2018-11-14 04:47:00,2018-11-14 04:49:00,2.0,443.76190554905935,-1e+31,-19.83540459194437
2018-11-19 12:09:00,2018-11-19 12:14:00,5.0,189.18244353602194,7.818536250399187,-8.372859164034633
2018-11-19 12:56:00,2018-11-19 13:01:00,5.0,81.65464649937826,-47.754004441780694,-53.6961049132627
2018-11-19 13:44:00,2018-11-19 13:47:00,3.0,340.2055384336205,7.2099826489400565,6.023233163571228
2018-11-19 14:32:00,2018-11-19 14:33:00,1.0,461.04791513629027,23.67310266146697,8.924267942744851
2018-11-24 21:54:00,2018-11-24 22:00:00,6.0,98.55889824657943,3.5925401356183295,3.6222443848538273
2018-11-24 22:40:00,2018-11-24 22:47:00,7.0,96.24706607058214,-5.4988275057422955,5.737230242278921
2018-11-24 23:29:00,2018-11-24 23:32:00,3.0,415.5975734807852,5.172840473254221,4.362146738618938
2018-11-25 00:17:00,2018-11-25 00:19:00,2.0,439.94766009010436,-8.111518197163281,-5.541953105699135
2018-11-30 07:39:00,2018-11-30 07:47:00,8.0,77.48525952495308,-11.386353115060782,-11.844886406691383
2018-11-30 08:25:00,2018-11-30 08:34:00,9.0,134.81825909560976,-28.073546846944655,-39.87421759897896
2018-11-30 09:15:00,2018-11-30 09:19:00,4.0,442.83174607287725,10.4964546132159,8.305289863472234
2018-11-30 10:01:00,2018-11-30 10:06:00,5.0,394.29272172605516,21.148521990690124,8.402865581310492
2018-12-05 17:24:00,2018-12-05 17:36:00,12.0,117.65406029448337,1.8895358959806692,1.9245959036275904
2018-12-05 18:11:00,2018-12-05 18:23:00,12.0,177.0836785608743,1.9482303100880713,2.030020937423153
2018-12-05 19:01:00,2018-12-05 19:08:00,7.0,402.4806495172327,1.8950404374009737,1.7318521546382752
2018-12-05 19:46:00,2018-12-05 19:55:00,9.0,340.3468330470584,2.288109368402909,2.0326645799326215
2018-12-11 03:12:00,2018-12-11 03:27:00,15.0,255.87662786527366,1.5178969180325501,1.609635302604384
2018-12-11 03:59:00,2018-12-11 04:16:00,17.0,184.77607316590286,-1.24814844581211,-1.2370235462130672
2018-12-11 04:47:00,2018-12-11 05:02:00,15.0,267.33233679297996,1.5486596161927373,1.4570333631591985
2018-12-11 05:33:00,2018-12-11 05:46:00,13.0,317.95134343435944,-1.8589285292615048,-1.7253183182574454
2018-12-16 13:52:00,2018-12-16 14:12:00,20.0,128.22772231733234,1.1926346793818634,1.1539156289923378
2018-12-16 14:37:00,2018-12-16 14:59:00,22.0,16.745614787561976,1.0660497248565919,1.0703342591555352
2018-12-16 15:26:00,2018-12-16 15:39:00,13.0,365.7537703016489,1.0519842210807266,1.0467392827152093
2018-12-21 23:47:00,2018-12-22 00:01:00,14.0,181.54404782338358,2.5367191467662473,2.435949463344597
2018-12-22 00:33:00,2018-12-22 00:47:00,14.0,234.07892011866522,1.6828504210086337,1.5974718263413397
2018-12-22 01:21:00,2018-12-22 01:32:00,11.0,333.48418712514876,2.025502092641681,2.112325814736198
2018-12-22 02:08:00,2018-12-22 02:20:00,12.0,285.89504353614103,1.438357968089342,1.5122662467623178
2018-12-27 09:39:00,2018-12-27 09:45:00,6.0,389.185231023067,3.3680151339050517,2.8517587238354367
2018-12-27 10:27:00,2018-12-27 10:31:00,4.0,452.8836892264497,-3.892957622464843,-3.1563769280174925
2018-12-27 11:11:00,2018-12-27 11:21:00,10.0,132.2736407705732,3.6768080975319224,3.896699599580948
2018-12-27 11:57:00,2018-12-27 12:08:00,11.0,71.01781788566628,-3.357406310466078,-3.4242021027669503
2019-01-01 20:58:00,2019-01-01 21:05:00,7.0,172.2204627113365,15.234959350230362,12.983878493702061
2019-01-01 21:46:00,2019-01-01 21:53:00,7.0,169.66983100615244,7.899166086560109,7.110954221985798
