lapStartTime,lapEndTime,lapDuration [min],minDist [km],FU4_L_at_min,ELFIN_A_L_at_min
2018-12-10 14:32:00,2018-12-10 14:47:00,15.0,215.2650510870248,1.7585741860754873,1.816780361434766
2018-12-10 15:19:00,2018-12-10 15:36:00,17.0,149.97194376604688,1.1996297121536135,1.2000386337942397
2018-12-10 16:07:00,2018-12-10 16:21:00,14.0,317.24729405696166,1.5136677542184285,1.4554364377261038
2018-12-10 16:54:00,2018-12-10 17:05:00,11.0,364.38525305731827,1.4478559069114114,1.3378438893758293
2018-12-15 22:05:00,2018-12-15 22:20:00,15.0,308.746937547501,1.2087198711576799,1.1431869456984944
2018-12-15 22:47:00,2018-12-15 23:07:00,20.0,141.45089665250725,1.0653068544609745,1.064487636364244
2018-12-15 23:34:00,2018-12-15 23:52:00,18.0,195.03138139969224,1.080153348868612,1.0671008781070066
2018-12-16 00:27:00,2018-12-16 00:39:00,12.0,388.89991869788633,1.0552330753421701,1.077864687680112
2018-12-21 06:19:00,2018-12-21 06:35:00,16.0,27.60823859838533,1.3564136413809662,1.3401430108203445
2018-12-21 07:06:00,2018-12-21 07:22:00,16.0,18.018643743943688,1.3922225313813157,1.3844730054370724
2018-12-26 13:01:00,2018-12-26 13:11:00,10.0,254.47875509760877,5.414740809479356,4.498910301500876
2018-12-26 13:49:00,2018-12-26 13:57:00,8.0,311.7196720475398,-3.6336546753310714,-3.087960960321455
2018-12-26 14:36:00,2018-12-26 14:45:00,9.0,275.02904925398457,5.970757808860724,8.56569102933927
2018-12-26 15:22:00,2018-12-26 15:32:00,10.0,215.15284326923927,-3.5946528281197896,-3.9723661689832084
2018-12-31 21:12:00,2018-12-31 21:20:00,8.0,46.08103275977575,8.07106745751572,7.5944291737534915
2018-12-31 21:59:00,2018-12-31 22:07:00,8.0,39.27169398490697,6.142258579881348,-5.880672060019822
2018-12-31 23:37:00,2018-12-31 23:38:00,1.0,497.3066523539367,3.8819590590225626,4.8099277280832
2019-01-06 03:49:00,2019-01-06 03:53:00,4.0,328.51050285103196,3.6774343777247824,3.261846933575826
2019-01-06 04:36:00,2019-01-06 04:41:00,5.0,230.08774811866735,6.106478264556714,5.242217753823924
2019-01-06 05:23:00,2019-01-06 05:28:00,5.0,209.53108419680055,3.7111465479635815,4.134336691957961
2019-01-06 06:10:00,2019-01-06 06:15:00,5.0,301.2222347924067,5.061800707769267,5.862445551406311
2019-01-11 11:11:00,2019-01-11 11:14:00,3.0,389.40420752225526,12.66452053350144,-9.852410274376025
2019-01-11 11:57:00,2019-01-11 12:02:00,5.0,104.16615151626121,-1e+31,-1e+31
2019-01-11 12:45:00,2019-01-11 12:49:00,4.0,136.10724906962963,-11.471203242727384,-12.400115450454786
2019-01-11 13:33:00,2019-01-11 13:35:00,2.0,441.6997753793179,-1e+31,-1e+31
2019-01-16 18:32:00,2019-01-16 18:35:00,3.0,341.7497882009012,-1e+31,-1e+31
2019-01-16 19:19:00,2019-01-16 19:23:00,4.0,65.07921566282171,-1e+31,-1e+31
2019-01-16 20:06:00,2019-01-16 20:09:00,3.0,195.1665757953566,-23.55753323614479,-24.916617195952988
2019-01-22 01:53:00,2019-01-22 01:56:00,3.0,130.45766495236333,10.72457230369389,-9.761095676932534
2019-01-22 02:39:00,2019-01-22 02:43:00,4.0,37.298601950057495,5.7685006879696585,5.668236474290649
2019-01-22 03:28:00,2019-01-22 03:29:00,1.0,396.76284512383313,8.597650989657675,10.48566003616687
2019-01-22 04:15:00,2019-01-22 04:16:00,1.0,486.4512411636379,4.599058543213241,6.236775588517658
2019-01-27 08:26:00,2019-01-27 08:28:00,2.0,238.37806876008844,-12.815535277659572,-10.954536701023091
2019-01-27 09:13:00,2019-01-27 09:15:00,2.0,218.63530693469636,-1e+31,39.1051203055104
2019-01-27 10:01:00,2019-01-27 10:03:00,2.0,310.23615459389765,-1e+31,-1e+31
2019-01-27 10:47:00,2019-01-27 10:49:00,2.0,309.66126626402195,-1e+31,-1e+31
