Time,Lat,Lon,Alt,Lm_T89,MLT_T89
2019-01-25 00:00:00,41.8005,31.5902,783.1419999999999,-1.7621548475157218,2.1829321146884197
2019-01-25 00:00:05.011200,41.5022,31.6028,783.078,-1.746769191481489,2.17996091831729
2019-01-25 00:00:10.022400,41.2039,31.615,783.015,-1.7316929848662228,2.177007445852361
2019-01-25 00:00:15.033600,40.9056,31.627,782.952,-1.7166016495663343,2.1740833831572512
2019-01-25 00:00:19.958400,40.6073,31.6387,782.89,-1.702216056648065,2.170904459993457
2019-01-25 00:00:24.969599999,40.309,31.6501,782.828,-1.687825186745585,2.1680243287908088
2019-01-25 00:00:29.980799999,40.0106,31.6612,782.7660000000001,-1.6735206708298356,2.1651633586218804
2019-01-25 00:00:34.992000,39.7122,31.671999999999997,782.704,-1.6599895070768695,2.1623224745011385
2019-01-25 00:00:40.003200,39.4138,31.6826,782.643,-1.6463062301497704,2.159784468591397
2019-01-25 00:00:45.014400,39.1153,31.6929,782.582,-1.6327437253260624,2.156986246361953
2019-01-25 00:00:50.025600,38.8169,31.7029,782.5219999999999,-1.6199927828735603,2.154207580971173
2019-01-25 00:00:55.036800,38.5184,31.7127,782.461,-1.6069969539705484,2.151450857537297
2019-01-25 00:00:59.961599999,38.2198,31.7222,782.4010000000001,-1.5941351290227042,2.148431875186331
2019-01-25 00:01:04.972799999,37.9213,31.7314,782.342,-1.5821013935576456,2.1457076793251915
2019-01-25 00:01:09.984000,37.6227,31.7405,782.283,-1.5697650591845635,2.1430098104489534
2019-01-25 00:01:14.995200,37.3241,31.7493,782.2239999999999,-1.5578989083408792,2.1403266167862895
2019-01-25 00:01:20.006400,37.0255,31.7578,782.166,-1.546207283037345,2.1379347750266113
2019-01-25 00:01:25.017600,36.7269,31.7662,782.1080000000001,-1.5345043762948363,2.1352916966971396
2019-01-25 00:01:30.028800,36.4282,31.7743,782.051,-1.5233525273665578,2.132659952455846
2019-01-25 00:01:35.040000,36.1295,31.7821,781.9939999999999,-1.5122084473781705,2.1300404822524808
2019-01-25 00:01:39.964800,35.8308,31.7898,781.937,-1.5011067628557628,2.1271680225779157
2019-01-25 00:01:44.976000,35.5321,31.7973,781.8810000000001,-1.4906071763683741,2.124590352220105
2019-01-25 00:01:49.987200,35.2333,31.8045,781.825,-1.480013155322887,2.1220217957671625
2019-01-25 00:01:54.998400,34.9346,31.8116,781.77,-1.4694895827457013,2.119477425817241
2019-01-25 00:02:00.009600,34.6358,31.8184,781.715,-1.4595969096847368,2.117218472750194
2019-01-25 00:02:05.020800,34.336999999999996,31.825,781.6610000000001,-1.4495424702388915,2.1146975104799246
2019-01-25 00:02:10.032000,34.0381,31.8315,781.607,-1.439565207303546,2.1121962905698375
2019-01-25 00:02:14.956800,33.7393,31.8377,781.554,-1.4302512427963452,2.109427125556506
2019-01-25 00:02:19.968000,33.4404,31.8438,781.502,-1.4207146574096827,2.106954107104018
2019-01-25 00:02:24.979200,33.1415,31.8497,781.449,-1.4112665460578868,2.10449446904925
2019-01-25 00:02:29.990400,32.8426,31.8554,781.398,-1.4025017633881849,2.10204773761512
2019-01-25 00:02:35.001600,32.5436,31.8609,781.347,-1.393463172798119,2.099889460780693
2019-01-25 00:02:40.012800,32.2447,31.8663,781.296,-1.3847894340652172,2.097473529335746
2019-01-25 00:02:45.024000,31.9457,31.8714,781.2460000000001,-1.376282836877538,2.095061393254541
2019-01-25 00:02:50.035200,31.6467,31.8765,781.196,-1.3677255481073607,2.0926731015522435
2019-01-25 00:02:54.960000,31.3477,31.8813,781.148,-1.3596491957488126,2.090011684562091
2019-01-25 00:02:59.971200,31.0487,31.886,781.0989999999999,-1.3515350803404853,2.0876443172472605
2019-01-25 00:03:04.982400,30.7496,31.8905,781.051,1.3434374084095242,2.085285437522165
2019-01-25 00:03:09.993600,30.4505,31.8949,781.0039999999999,-1.3358992016454696,2.0829423728829806
2019-01-25 00:03:15.004800,30.1514,31.8991,780.9580000000001,1.3281935792639592,2.080885800970986
2019-01-25 00:03:20.015999999,29.8523,31.9032,780.9119999999999,1.320540316226513,2.0785667928010643
2019-01-25 00:03:25.027200,29.5532,31.9071,780.867,-1.3135066395962478,2.0762560265703573
2019-01-25 00:03:30.038400,29.254,31.9109,780.822,1.3062064599428236,2.0739581982225843
2019-01-25 00:03:34.963200,28.9549,31.9145,780.778,-1.2992949766481656,2.071391674815173
2019-01-25 00:03:39.974400,28.6557,31.918000000000003,780.7339999999999,1.2924199048784646,2.0691148380868984
2019-01-25 00:03:44.985600,28.3565,31.9213,780.692,1.285519368427298,2.0668447518861974
2019-01-25 00:03:49.996800,28.0573,31.9245,780.65,1.2791435984777992,2.0645874560611013
2019-01-25 00:03:55.008000,27.758000000000003,31.9276,780.6080000000001,1.272590308535957,2.062618839132263
2019-01-25 00:04:00.019200,27.4588,31.9306,780.567,1.2661835845178917,2.0603860905074907
2019-01-25 00:04:05.030400,27.1595,31.9334,780.5269999999999,1.260173922726191,2.058157417830758
2019-01-25 00:04:10.041600,26.8602,31.9361,780.488,1.2539720743478713,2.055940170824556
2019-01-25 00:04:14.966400,26.5609,31.9387,780.449,1.2482332180897495,2.0534564747367785
2019-01-25 00:04:19.977600,26.2616,31.9411,780.4110000000001,1.2423680750968948,2.0512546648399237
2019-01-25 00:04:24.988800,25.9623,31.9435,780.3739999999999,1.2365197342885055,2.049069722605701
2019-01-25 00:04:30,25.6629,31.9457,780.337,1.2312467960082787,2.0471648151167905
2019-01-25 00:04:35.011200,25.3635,31.9478,780.302,1.2256879711639859,2.044992177061621
